Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Karl-Anthony Towns,39,21.1,.566,0.2,.250,.813,6.7,1.1,0.5,2.3,1.4,10.3
Jahlil Okafor,38,30.1,.664,0.0,nan,.510,8.5,1.3,0.8,1.4,2.5,17.3
Willie Cauley-Stein,105,24.5,.593,0.0,nan,.508,6.2,0.9,1.1,2.2,1.2,8.0
Stanley Johnson,38,28.4,.446,3.1,.371,.742,6.5,1.7,1.5,0.4,2.2,13.8
Frank Kaminsky,144,20.4,.522,1.9,.369,.763,4.6,1.3,0.5,1.1,0.8,10.1
Justise Winslow,39,29.1,.486,2.8,.418,.641,6.5,2.1,1.3,0.9,1.8,12.6
Myles Turner,34,22.2,.455,1.8,.274,.839,6.5,0.6,0.3,2.6,1.4,10.1
Trey Lyles,36,23.0,.488,0.8,.138,.735,5.2,1.1,0.5,0.4,1.1,8.7
Devin Booker,128,24.1,.496,0.6,.275,.658,5.7,0.8,0.6,0.6,1.6,9.0
Cameron Payne,69,32.4,.432,6.3,.359,.781,3.7,5.7,1.8,0.5,2.9,18.5
Kelly Oubre,36,21.0,.444,2.6,.358,.718,5.0,0.8,1.1,0.4,1.2,9.3
Terry Rozier,73,26.8,.408,3.5,.331,.772,4.3,2.4,1.5,0.1,1.4,12.0
Rashad Vaughn,23,32.3,.439,6.1,.383,.694,4.8,1.6,0.8,0.3,2.2,17.8
Sam Dekker,113,27.9,.493,3.6,.348,.695,5.0,1.3,0.6,0.5,1.0,12.1
Jerian Grant,119,36.4,.436,4.4,.345,.790,2.9,5.8,1.5,0.3,2.2,14.6
Delon Wright,68,34.8,.535,1.9,.299,.814,5.8,5.2,2.3,1.1,2.2,15.0
Justin Anderson,98,24.1,.430,2.8,.357,.752,3.5,1.8,0.6,0.9,1.3,8.9
Bobby Portis,70,28.5,.526,0.9,.365,.737,7.9,1.3,1.1,1.5,1.4,15.0
Rondae Hollis-Jefferson,76,27.0,.496,0.5,.205,.697,6.3,1.5,0.9,0.9,1.4,10.2
Tyus Jones,39,33.9,.417,3.2,.379,.889,3.5,5.6,1.5,0.1,1.9,11.8
Jarell Martin,65,30.7,.494,2.0,.308,.689,6.9,1.4,1.0,0.7,2.2,13.7
Larry Nance,117,25.3,.533,nan,nan,.628,6.7,1.5,0.9,0.9,1.9,11.5
Chris McCullough,16,28.1,.478,0.1,1.000,.563,6.9,1.1,1.7,2.1,2.2,9.3
Kevon Looney,36,30.9,.470,1.5,.415,.626,9.2,1.4,1.3,0.9,1.3,11.6
Montrezl Harrell,112,26.4,.586,0.4,.275,.533,6.9,0.9,0.8,1.1,1.3,11.6
Jordan Mickey,65,33.8,.518,0.2,.071,.669,8.8,1.2,0.8,3.4,2.8,14.0
Anthony Brown,47,13.1,.482,0.1,.143,.569,2.3,0.3,0.3,0.4,0.4,3.0
